City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port alfred,-33.5906,26.891,15.66,79,35,0.45,ZA,1709683770
83,yellowknife,62.456,-114.3525,-15.88,81,99,1.08,CA,1709683769
84,ribeira grande,38.5167,-28.7,13.76,73,86,6.71,PT,1709683795
85,coahuayana de hidalgo,18.7,-103.6583,26.48,55,81,2.46,MX,1709683772
86,ingeniero jacobacci,-41.3427,-69.5448,19.9,24,100,8.5,AR,1709684360
87,rongelap,11.1635,166.8941,26.39,77,88,11.61,MH,1709683780
88,autazes,-3.5797,-59.1306,25.96,83,71,1.29,BR,1709684361
89,cooma,-36.2333,149.1333,24.35,32,68,3.48,AU,1709684005
90,hawaiian paradise park,19.5933,-154.9731,25.73,74,0,5.66,US,1709683778
91,sidney,-33.8679,151.2073,28.52,60,0,3.6,AU,1709684287
92,saipan,15.1355,145.701,29.39,70,40,7.2,MP,1709683903
93,yuzhno-kurilsk,44.0306,145.8556,-5.35,92,34,1.3,RU,1709683853
94,al ghayzah,16.2079,52.176,25.14,77,5,4.17,YE,1709684362
95,badger,64.8,-147.5333,-1.47,68,75,1.54,US,1709683857
96,wailua homesteads,22.0669,-159.378,26.24,66,40,8.75,US,1709684363
97,arraial do cabo,-22.9661,-42.0278,25.69,87,26,2.7,BR,1709683920
98,languyan,5.2618,120.0807,27.59,77,16,2.97,PH,1709684363
99,chul'man,56.8479,124.9104,-17.33,97,100,1.02,RU,1709684364
100,hadyach,50.3711,33.991,1.25,84,98,3.91,UA,1709684364
101,cold lake,54.4502,-110.2017,-17.03,60,20,3.6,CA,1709684364
102,rikaze,29.25,88.8833,-3.62,24,12,2.25,CN,1709683963
103,scone,56.4194,-3.4051,5.86,90,100,0.89,GB,1709684365
104,nouadhibou,20.931,-17.0347,17.99,77,8,7.2,MR,1709684095
105,bilibino,68.0546,166.4372,-21.51,96,98,1.12,RU,1709684365
106,longyearbyen,78.2186,15.6401,-3.09,100,100,4.12,SJ,1709683775
107,maragogi,-9.0122,-35.2225,27.89,76,48,3.61,BR,1709683733
108,laguna,38.421,-121.4238,17.25,57,75,5.66,US,1709683999
109,papao,-17.75,-149.55,29.82,77,48,4.26,PF,1709683854
110,port lincoln,-34.7333,135.8667,22.07,59,100,4.14,AU,1709683896
111,aripuana,-9.1667,-60.6333,23.53,94,24,1.08,BR,1709684062
112,berezovo,63.9381,65.0419,-23.05,98,91,3.08,RU,1709684371
113,canto del llano,8.1761,-80.973,30.92,54,74,1.79,PA,1709684372
114,tutoia,-2.7619,-42.2744,26.61,80,100,2.75,BR,1709684372
115,marquette,46.5333,-87.6335,-1.65,79,10,1.99,US,1709684372
116,port hedland,-20.3167,118.5667,30.03,74,98,0.51,AU,1709684064
117,mount gambier,-37.8333,140.7667,24.43,39,0,1.86,AU,1709684372
118,puerto aysen,-45.4,-72.7,9.17,97,84,2.53,CL,1709683833
119,campo mourao,-24.0456,-52.3831,20.78,94,75,2.02,BR,1709684088
120,muravlenko,63.7898,74.523,-19.14,97,100,6.95,RU,1709684373
121,haiku-pauwela,20.9219,-156.3051,25.01,70,40,9.26,US,1709684374
122,ulladulla,-35.35,150.4667,29.94,35,64,2.81,AU,1709683930
123,mawu,29.5923,107.3139,9.2,91,100,0.48,CN,1709684374
124,richards bay,-28.783,32.0377,25.11,69,40,6.15,ZA,1709683828
125,praia da vitoria,38.7333,-27.0667,13.75,83,64,7.17,PT,1709683833
126,maysville,38.6412,-83.7444,17.88,88,100,2.06,US,1709684375
127,batna,35.556,6.1741,1.56,90,73,0.55,DZ,1709684375
128,ketchikan,55.3422,-131.6461,1.26,51,0,0.0,US,1709683937
129,sinabang,2.4803,96.3801,25.5,87,100,2.08,ID,1709684012
130,bathsheba,13.2167,-59.5167,25.95,72,26,6.79,BB,1709684023
131,shache,38.4167,77.2406,2.14,50,64,2.05,CN,1709684132
132,vernon,50.2581,-119.2691,2.91,48,100,4.47,CA,1709683971
133,uturoa,-16.7333,-151.4333,28.53,76,80,4.35,PF,1709684377
134,talakan,50.3167,130.3667,-15.91,91,83,0.6,RU,1709683789
135,lihue,21.9789,-159.3672,26.58,66,40,8.75,US,1709683787
136,dashiqiao,40.6373,122.5025,-2.21,34,83,5.67,CN,1709684377
137,puerto gaitan,4.3133,-72.0816,32.11,34,52,1.62,CO,1709684377
138,bawali,22.4192,88.1961,19.98,32,1,3.51,IN,1709684378
139,payson,40.0444,-111.7321,7.71,56,75,3.09,US,1709684378
140,monrovia,6.3005,-10.7969,25.87,87,82,2.76,LR,1709684349
141,greenville,35.6127,-77.3663,15.09,95,0,0.0,US,1709683881
142,pathalgaon,22.5667,83.4667,16.49,34,10,1.67,IN,1709684379
143,ngereklmadel,7.4883,134.4856,28.05,78,75,5.14,PW,1709684379
144,flying fish cove,-10.4217,105.6791,26.82,94,100,2.06,CX,1709684124
145,sisimiut,66.9395,-53.6735,-15.57,94,94,3.88,GL,1709683917
146,happy valley-goose bay,53.3168,-60.3315,-6.83,100,100,0.0,CA,1709684379
147,hamilton,39.1834,-84.5333,16.19,94,100,2.06,US,1709684143
148,nuku'alofa,-21.1333,-175.2,31.19,74,20,6.17,TO,1709684380
149,suva,-18.1416,178.4415,28.59,78,93,5.6,FJ,1709683946
150,puerto baquerizo moreno,-0.9,-89.6,26.01,75,24,3.14,EC,1709684380
151,ilulissat,69.2167,-51.1,-9.99,79,75,3.6,GL,1709684381
152,qaqortoq,60.7167,-46.0333,-12.11,91,79,1.72,GL,1709683785
153,pacific grove,36.6177,-121.9166,16.82,76,100,5.81,US,1709683917
